categoria,canal,region,segmento_cliente,compras_previas,meses_cliente,descuento_aplicado,productos_distintos,ticket_promedio_soles
Belleza,Online,Cusco,Platinum,39,78,5.2,2,921.59
Ropa y Moda,Online,Cusco,Gold,15,11,31.9,12,438.94
Belleza,Tienda física,Lima,Básico,15,26,20.3,6,256.16
Deportes,Online,Trujillo,Platinum,4,42,30.0,6,827.93
Belleza,Online,Trujillo,Platinum,32,27,12.4,11,865.32
Ropa y Moda,Online,Cusco,Silver,23,11,20.6,11,395.39
Deportes,Online,Piura,Platinum,6,38,34.3,8,889.73
Belleza,Tienda física,Lima,Gold,24,43,18.7,12,632.4
Deportes,Tienda física,Cusco,Silver,20,19,14.4,13,561.14
Electrónica,Tienda física,Arequipa,Básico,37,64,21.4,11,646.2
Electrónica,Online,Arequipa,Silver,20,6,28.7,14,645.3
Belleza,Online,Lima,Gold,12,46,17.7,2,420.14
Deportes,Tienda física,Piura,Gold,33,42,37.6,9,698.59
Ropa y Moda,Online,Cusco,Silver,28,65,11.8,2,448.13
Belleza,Online,Trujillo,Básico,8,72,19.0,13,389.58
Electrónica,Tienda física,Lima,Silver,1,59,30.3,1,545.24
Electrónica,Tienda física,Piura,Básico,37,52,27.6,10,589.66
Belleza,Tienda física,Trujillo,Silver,22,47,34.5,2,305.34
Deportes,Tienda física,Arequipa,Gold,6,7,39.9,12,521.95
Electrónica,Online,Arequipa,Platinum,21,11,17.1,7,1577.64
Deportes,Online,Trujillo,Platinum,32,61,4.4,8,1145.11
Electrónica,Tienda física,Lima,Básico,35,68,1.2,5,590.22
Electrónica,Online,Arequipa,Básico,15,25,29.1,6,273.42
Hogar y Deco,Tienda física,Cusco,Básico,5,12,35.0,12,240.77
Electrónica,Tienda física,Trujillo,Gold,46,26,8.8,1,1162.08
Ropa y Moda,Online,Trujillo,Silver,48,12,6.3,6,499.65
Belleza,Tienda física,Arequipa,Gold,6,43,2.5,12,623.24
Belleza,Online,Lima,Platinum,25,51,32.9,8,759.17
Deportes,Online,Cusco,Básico,46,37,12.5,13,603.08
Electrónica,Online,Lima,Silver,40,46,16.1,3,756.47
Ropa y Moda,Online,Piura,Platinum,29,53,20.1,11,914.12
Deportes,Tienda física,Piura,Platinum,7,80,33.6,1,884.61
Hogar y Deco,Online,Arequipa,Platinum,40,13,26.0,11,1298.01
Deportes,Tienda física,Arequipa,Gold,13,54,24.6,4,581.32
Deportes,Tienda física,Arequipa,Básico,38,57,7.0,1,466.96
Electrónica,Tienda física,Piura,Platinum,18,4,20.5,14,1813.1
Hogar y Deco,Tienda física,Lima,Básico,2,75,28.6,8,354.02
Deportes,Online,Lima,Gold,8,49,38.9,5,526.6
Ropa y Moda,Online,Arequipa,Platinum,11,7,8.1,1,634.68
Ropa y Moda,Tienda física,Cusco,Gold,33,11,0.4,14,741.41
Belleza,Tienda física,Lima,Gold,38,54,3.0,8,739.63
Hogar y Deco,Online,Piura,Básico,48,45,15.0,9,576.52
Hogar y Deco,Tienda física,Trujillo,Platinum,27,23,32.8,10,1368.47
Belleza,Online,Trujillo,Gold,20,28,0.3,2,447.48
Deportes,Tienda física,Trujillo,Platinum,12,57,18.3,9,1081.43
Hogar y Deco,Online,Cusco,Básico,43,26,13.2,8,521.54
Ropa y Moda,Tienda física,Arequipa,Gold,31,25,2.1,7,692.74
Ropa y Moda,Tienda física,Piura,Básico,27,54,18.0,3,334.28
Electrónica,Online,Cusco,Platinum,32,29,10.2,2,1669.59
Hogar y Deco,Tienda física,Piura,Platinum,10,83,14.1,7,1428.41
Deportes,Tienda física,Piura,Básico,3,36,28.2,5,185.72
Belleza,Online,Arequipa,Silver,45,14,20.9,6,455.48
Belleza,Tienda física,Trujillo,Gold,27,78,5.0,4,680.88
Deportes,Online,Arequipa,Platinum,35,35,38.5,2,885.13
Electrónica,Online,Cusco,Platinum,31,30,25.4,9,1669.06
Belleza,Tienda física,Cusco,Gold,15,17,30.6,3,352.81
Hogar y Deco,Tienda física,Cusco,Básico,16,67,3.2,12,550.57
Electrónica,Tienda física,Arequipa,Básico,13,80,1.9,14,671.51
Hogar y Deco,Tienda física,Piura,Básico,49,30,0.8,7,546.85
Ropa y Moda,Tienda física,Piura,Silver,35,45,7.6,14,589.88
Electrónica,Tienda física,Lima,Silver,11,79,16.6,8,751.48
Belleza,Tienda física,Cusco,Platinum,21,51,37.4,2,692.41
Electrónica,Online,Piura,Básico,11,47,18.3,14,470.17
Electrónica,Tienda física,Lima,Gold,30,53,11.6,6,1142.41
Electrónica,Online,Piura,Platinum,48,64,22.5,11,1926.0
Electrónica,Tienda física,Cusco,Gold,35,38,4.5,8,1209.87
Hogar y Deco,Tienda física,Trujillo,Platinum,22,64,24.4,7,1420.86
Ropa y Moda,Online,Cusco,Silver,38,7,22.7,11,468.92
Deportes,Tienda física,Arequipa,Platinum,31,22,31.7,3,954.34
Electrónica,Tienda física,Piura,Silver,14,81,39.5,1,598.98
Belleza,Online,Piura,Platinum,24,82,10.0,14,1001.36
Electrónica,Tienda física,Arequipa,Básico,49,41,20.4,6,540.42
Belleza,Tienda física,Arequipa,Gold,32,74,36.4,8,672.75
Hogar y Deco,Tienda física,Trujillo,Básico,36,10,31.4,6,366.41
Belleza,Online,Piura,Platinum,32,57,19.5,5,800.26
Deportes,Tienda física,Piura,Platinum,15,7,37.8,11,979.81
Ropa y Moda,Tienda física,Trujillo,Platinum,43,50,2.3,12,1162.06
Belleza,Tienda física,Lima,Silver,35,52,37.2,8,457.6
Belleza,Tienda física,Trujillo,Gold,3,33,2.0,2,405.62
Ropa y Moda,Online,Cusco,Gold,16,1,21.9,12,538.77
Deportes,Online,Piura,Platinum,5,53,35.6,1,835.86
Electrónica,Tienda física,Arequipa,Platinum,21,60,10.5,1,1793.36
Belleza,Tienda física,Cusco,Silver,10,34,18.9,14,415.99
Ropa y Moda,Online,Piura,Básico,19,4,13.0,4,191.22
Hogar y Deco,Online,Trujillo,Básico,25,17,38.1,6,300.26
Ropa y Moda,Tienda física,Cusco,Gold,4,4,32.9,13,432.31
Hogar y Deco,Online,Piura,Silver,29,43,28.4,9,590.78
Deportes,Tienda física,Lima,Platinum,19,4,23.5,1,875.65
Electrónica,Online,Lima,Gold,43,1,32.8,12,1040.88
Ropa y Moda,Online,Arequipa,Silver,2,71,15.7,1,324.27
Belleza,Online,Piura,Básico,10,50,17.9,13,382.25
Deportes,Online,Lima,Silver,43,73,29.2,13,753.92
Ropa y Moda,Tienda física,Trujillo,Básico,25,61,14.3,5,392.27
Belleza,Online,Piura,Silver,20,35,2.6,10,449.45
Ropa y Moda,Online,Trujillo,Gold,48,8,3.0,5,649.44
Hogar y Deco,Tienda física,Trujillo,Básico,19,24,4.6,5,385.8
Ropa y Moda,Online,Lima,Gold,23,83,34.8,10,666.05
Ropa y Moda,Online,Piura,Gold,24,36,18.9,6,516.42
Ropa y Moda,Tienda física,Cusco,Básico,11,50,28.5,8,255.39
Deportes,Online,Lima,Básico,46,43,15.7,3,396.09
Ropa y Moda,Tienda física,Lima,Platinum,34,27,10.3,9,1006.54
Belleza,Tienda física,Piura,Platinum,28,32,13.9,13,947.32
Hogar y Deco,Tienda física,Piura,Platinum,5,78,31.8,1,1219.79
Hogar y Deco,Tienda física,Trujillo,Gold,5,18,25.0,4,654.25
Ropa y Moda,Online,Piura,Gold,21,28,37.5,9,487.64
Deportes,Tienda física,Trujillo,Platinum,12,29,27.2,14,1043.7
Deportes,Online,Lima,Gold,4,16,22.8,8,499.8
Belleza,Online,Arequipa,Gold,49,47,24.4,10,706.2
Ropa y Moda,Online,Cusco,Básico,42,59,37.7,9,484.73
Hogar y Deco,Online,Lima,Básico,20,31,31.5,1,206.77
Deportes,Online,Piura,Gold,38,4,1.0,9,690.48
Ropa y Moda,Online,Cusco,Platinum,25,37,21.4,3,730.24
Deportes,Online,Arequipa,Silver,14,17,27.5,11,388.13
Deportes,Online,Arequipa,Platinum,11,39,29.9,12,956.59
Hogar y Deco,Online,Trujillo,Silver,32,48,8.5,10,672.41
Electrónica,Online,Cusco,Platinum,11,46,34.7,9,1626.82
Belleza,Tienda física,Trujillo,Básico,18,48,38.2,1,138.57
Belleza,Tienda física,Lima,Gold,27,39,9.5,1,510.85
Hogar y Deco,Tienda física,Cusco,Gold,18,4,35.3,9,782.36
Deportes,Online,Lima,Básico,23,30,3.9,11,448.21
Ropa y Moda,Tienda física,Trujillo,Silver,11,30,2.2,14,523.56
Deportes,Tienda física,Cusco,Silver,21,22,5.2,6,521.51
Hogar y Deco,Tienda física,Trujillo,Silver,44,75,2.3,4,810.48
Belleza,Online,Cusco,Básico,5,66,33.8,7,247.35
Deportes,Online,Trujillo,Silver,23,12,2.4,5,427.01
Belleza,Online,Arequipa,Básico,41,36,10.9,10,472.95
Ropa y Moda,Online,Trujillo,Platinum,25,18,4.2,14,933.15
Belleza,Tienda física,Arequipa,Platinum,41,53,11.8,7,949.83
Belleza,Tienda física,Trujillo,Básico,10,71,3.6,8,390.77
Electrónica,Tienda física,Cusco,Gold,22,1,26.7,8,1002.44
Electrónica,Tienda física,Cusco,Platinum,19,58,5.3,1,1762.95
Electrónica,Online,Cusco,Silver,1,6,34.1,8,500.47
Belleza,Online,Piura,Básico,7,70,32.7,6,250.71
Hogar y Deco,Online,Lima,Silver,4,44,0.5,4,472.74
Belleza,Tienda física,Cusco,Silver,1,72,35.8,13,415.96
Hogar y Deco,Online,Arequipa,Gold,15,24,1.2,14,905.27
Hogar y Deco,Online,Cusco,Silver,40,19,9.6,12,669.32
Electrónica,Tienda física,Piura,Gold,12,18,1.3,8,1053.56
Deportes,Tienda física,Arequipa,Platinum,22,30,13.4,3,970.11
Ropa y Moda,Online,Piura,Básico,22,42,20.6,13,476.31
Electrónica,Online,Arequipa,Silver,47,33,31.9,4,705.87
Electrónica,Online,Trujillo,Básico,17,74,13.5,6,452.45
Deportes,Online,Lima,Silver,29,12,28.2,11,565.81
Ropa y Moda,Online,Lima,Básico,46,27,7.5,7,440.25
Belleza,Online,Piura,Silver,14,39,30.0,4,270.3
Belleza,Tienda física,Lima,Silver,20,9,9.4,4,320.32
Electrónica,Tienda física,Piura,Silver,48,21,5.7,7,832.2
Ropa y Moda,Tienda física,Piura,Silver,33,76,7.4,6,593.39
Electrónica,Online,Piura,Silver,43,29,7.3,13,829.16
Hogar y Deco,Tienda física,Lima,Silver,15,33,20.5,11,616.05
Electrónica,Online,Piura,Silver,12,62,33.8,8,607.15
Electrónica,Online,Lima,Silver,40,15,3.2,1,661.75
Belleza,Tienda física,Piura,Silver,20,2,28.3,10,359.43
Belleza,Online,Cusco,Básico,30,52,26.2,13,442.35
Belleza,Online,Piura,Gold,38,44,34.9,11,616.32
Hogar y Deco,Tienda física,Arequipa,Silver,3,54,9.8,7,518.62
Belleza,Tienda física,Piura,Gold,28,18,18.0,12,662.38
Ropa y Moda,Tienda física,Trujillo,Silver,26,3,37.0,7,333.98
Deportes,Online,Piura,Silver,30,7,26.4,11,449.09
Ropa y Moda,Tienda física,Arequipa,Básico,13,43,15.6,7,303.15
Ropa y Moda,Tienda física,Arequipa,Platinum,13,82,5.3,7,929.67
Belleza,Online,Lima,Platinum,2,38,10.5,10,763.71
Deportes,Tienda física,Cusco,Básico,37,37,23.2,14,522.22
Deportes,Tienda física,Piura,Gold,49,58,28.7,10,849.96
Deportes,Tienda física,Lima,Platinum,38,33,5.0,8,1207.91
Hogar y Deco,Online,Cusco,Básico,2,59,24.0,9,324.8
Belleza,Online,Piura,Básico,36,11,22.0,9,313.25
Deportes,Online,Trujillo,Platinum,26,68,20.6,2,994.8
Hogar y Deco,Online,Piura,Gold,11,82,27.6,13,894.85
Electrónica,Tienda física,Arequipa,Básico,8,68,33.5,13,514.0
Electrónica,Online,Arequipa,Silver,44,22,12.9,7,769.06
Hogar y Deco,Online,Trujillo,Gold,40,66,35.6,7,891.24
Hogar y Deco,Tienda física,Lima,Gold,43,44,6.4,4,964.88
Belleza,Tienda física,Cusco,Platinum,22,6,6.9,9,847.43
Belleza,Tienda física,Piura,Platinum,20,42,10.7,8,838.37
Electrónica,Online,Arequipa,Silver,8,25,4.8,12,698.51
Deportes,Online,Lima,Básico,29,57,9.2,1,371.16
Electrónica,Online,Trujillo,Platinum,40,55,4.3,2,1774.05
Deportes,Tienda física,Arequipa,Platinum,26,16,32.9,13,1072.21
Deportes,Tienda física,Trujillo,Gold,30,14,5.6,13,802.98
Belleza,Online,Piura,Platinum,17,39,29.9,2,618.29
Ropa y Moda,Tienda física,Cusco,Platinum,20,28,1.9,12,1015.84
Ropa y Moda,Tienda física,Arequipa,Platinum,16,51,37.9,12,871.24
Hogar y Deco,Tienda física,Arequipa,Platinum,46,49,28.4,11,1530.1
Belleza,Online,Piura,Gold,43,9,0.3,8,635.1
Deportes,Tienda física,Lima,Silver,7,58,30.6,1,322.26
Ropa y Moda,Tienda física,Cusco,Silver,16,45,20.6,4,367.87
Deportes,Online,Arequipa,Básico,45,22,31.2,10,420.92
Ropa y Moda,Online,Cusco,Platinum,47,32,20.9,12,999.57
Ropa y Moda,Tienda física,Arequipa,Gold,48,69,25.6,5,729.25
Ropa y Moda,Tienda física,Cusco,Básico,27,69,31.5,9,429.44
Belleza,Online,Trujillo,Básico,23,42,16.2,7,333.29
Electrónica,Online,Arequipa,Silver,24,53,0.1,8,785.83
Deportes,Tienda física,Cusco,Gold,9,59,34.0,14,725.02
Belleza,Tienda física,Lima,Gold,35,74,15.2,11,779.26
Belleza,Tienda física,Trujillo,Gold,20,39,19.8,9,537.2
Belleza,Tienda física,Trujillo,Silver,37,15,0.3,13,556.73
Belleza,Online,Lima,Silver,42,71,19.7,7,607.77
Belleza,Tienda física,Cusco,Silver,17,29,39.5,5,289.68
Hogar y Deco,Tienda física,Piura,Silver,47,3,11.1,13,745.91
Deportes,Online,Lima,Silver,31,83,15.8,5,584.26
Belleza,Tienda física,Cusco,Platinum,8,10,27.5,10,684.57
Deportes,Online,Lima,Platinum,15,29,32.6,11,949.15
Hogar y Deco,Tienda física,Lima,Gold,31,79,16.7,6,945.85
Hogar y Deco,Tienda física,Arequipa,Básico,30,35,12.4,5,438.31
Deportes,Online,Cusco,Gold,46,6,37.5,13,730.1
Ropa y Moda,Online,Piura,Básico,20,12,27.1,12,306.52
Electrónica,Tienda física,Arequipa,Silver,39,38,4.8,11,882.99
Ropa y Moda,Tienda física,Lima,Básico,12,77,2.8,9,447.66
Ropa y Moda,Tienda física,Lima,Gold,49,19,19.3,3,593.97
Ropa y Moda,Online,Lima,Gold,17,67,8.8,3,533.51
Belleza,Tienda física,Cusco,Básico,42,8,10.2,7,386.5
Hogar y Deco,Online,Cusco,Platinum,30,8,35.1,7,1257.65
Ropa y Moda,Online,Arequipa,Silver,29,47,3.6,6,503.68
Hogar y Deco,Tienda física,Piura,Silver,19,4,28.6,3,339.47
Deportes,Online,Arequipa,Gold,46,51,10.8,14,901.82
Electrónica,Tienda física,Trujillo,Platinum,11,67,30.4,13,1890.71
Deportes,Tienda física,Lima,Básico,34,45,28.9,7,367.71
Deportes,Tienda física,Lima,Silver,7,8,0.3,5,393.76
Belleza,Tienda física,Lima,Platinum,44,16,20.4,7,875.24
Electrónica,Tienda física,Arequipa,Silver,34,77,5.6,2,848.51
Deportes,Online,Arequipa,Platinum,20,67,34.6,6,954.32
Deportes,Online,Lima,Platinum,38,9,34.9,14,1043.5
Electrónica,Tienda física,Arequipa,Gold,24,60,16.7,8,1173.05
Electrónica,Tienda física,Cusco,Silver,10,78,17.8,1,648.01
Deportes,Online,Cusco,Básico,32,77,12.1,4,447.59
Electrónica,Online,Arequipa,Gold,15,71,28.7,11,1102.47
Deportes,Online,Lima,Gold,37,15,14.3,1,604.73
Deportes,Online,Arequipa,Básico,20,71,10.7,14,478.95
Belleza,Tienda física,Arequipa,Gold,3,41,17.3,1,385.48
Ropa y Moda,Tienda física,Arequipa,Platinum,37,22,3.7,10,1024.73
Deportes,Online,Trujillo,Platinum,40,24,29.9,12,1116.44
Hogar y Deco,Tienda física,Cusco,Silver,8,44,0.5,14,659.15
Ropa y Moda,Online,Piura,Silver,40,1,25.8,14,519.3
Ropa y Moda,Tienda física,Piura,Básico,44,10,7.3,11,478.92
Ropa y Moda,Online,Trujillo,Silver,23,80,9.3,8,525.84
Belleza,Tienda física,Arequipa,Platinum,40,72,25.4,7,976.05
Deportes,Online,Trujillo,Básico,11,56,39.7,12,324.44
Belleza,Online,Trujillo,Básico,46,50,31.1,10,494.98
Deportes,Tienda física,Lima,Silver,8,12,9.0,13,460.92
Belleza,Online,Cusco,Platinum,29,81,7.0,1,790.56
Belleza,Tienda física,Piura,Básico,30,60,34.6,11,409.12
Hogar y Deco,Tienda física,Arequipa,Platinum,10,26,17.8,14,1401.32
Belleza,Online,Piura,Platinum,39,78,5.5,13,1044.25
Electrónica,Tienda física,Piura,Platinum,28,41,34.5,2,1653.17
Hogar y Deco,Tienda física,Cusco,Silver,49,36,32.6,4,639.0
Belleza,Tienda física,Piura,Gold,36,23,39.4,1,440.37
Ropa y Moda,Tienda física,Piura,Gold,13,43,36.4,3,443.27
Electrónica,Tienda física,Trujillo,Básico,32,6,34.1,8,393.87
Electrónica,Online,Cusco,Platinum,36,69,2.1,8,1859.7
Electrónica,Tienda física,Lima,Silver,37,43,4.2,8,898.26
Hogar y Deco,Tienda física,Arequipa,Platinum,26,25,22.8,6,1301.76
Belleza,Tienda física,Piura,Platinum,22,18,21.3,6,737.12
Belleza,Tienda física,Arequipa,Silver,4,62,18.3,5,342.87
Ropa y Moda,Tienda física,Lima,Gold,31,13,15.9,13,685.45
Ropa y Moda,Online,Arequipa,Platinum,18,43,17.2,9,839.67
Electrónica,Tienda física,Lima,Platinum,38,78,22.8,4,1902.76
Ropa y Moda,Online,Trujillo,Gold,24,28,0.1,10,666.53
Hogar y Deco,Online,Piura,Silver,23,18,10.4,12,612.92
Belleza,Online,Lima,Básico,22,59,20.7,12,380.73
Electrónica,Online,Arequipa,Gold,2,60,28.9,12,992.07
Ropa y Moda,Tienda física,Piura,Básico,31,63,7.0,7,472.79
Hogar y Deco,Online,Trujillo,Básico,11,57,21.9,1,309.91
Hogar y Deco,Online,Piura,Gold,28,51,28.6,9,856.53
Ropa y Moda,Tienda física,Lima,Platinum,46,56,17.8,7,999.62
Belleza,Tienda física,Trujillo,Básico,32,27,1.1,10,409.17
Ropa y Moda,Tienda física,Arequipa,Básico,5,32,18.0,12,332.96
Electrónica,Online,Trujillo,Silver,38,9,11.9,9,722.17
Ropa y Moda,Tienda física,Trujillo,Platinum,10,68,37.2,7,775.78
Hogar y Deco,Tienda física,Cusco,Básico,40,46,5.0,2,495.36
Ropa y Moda,Online,Trujillo,Silver,46,67,26.1,6,548.1
Belleza,Tienda física,Trujillo,Platinum,24,26,2.1,10,913.54
Deportes,Tienda física,Piura,Gold,35,8,17.8,12,737.41
Ropa y Moda,Tienda física,Arequipa,Gold,44,6,22.2,11,710.55
Belleza,Tienda física,Piura,Silver,48,80,11.9,4,632.56
Belleza,Online,Piura,Gold,23,24,18.2,3,414.1
Hogar y Deco,Tienda física,Lima,Básico,17,48,6.5,2,308.61
Belleza,Tienda física,Piura,Platinum,1,45,12.2,6,776.62
Belleza,Online,Cusco,Básico,31,13,24.8,8,294.63
Belleza,Tienda física,Cusco,Básico,31,69,12.1,6,415.21
Belleza,Online,Lima,Gold,42,25,36.0,9,602.59
Electrónica,Tienda física,Arequipa,Básico,42,20,25.1,14,626.12
Electrónica,Online,Arequipa,Gold,34,82,17.5,5,1159.18
Hogar y Deco,Online,Piura,Platinum,9,82,1.6,2,1267.73
Ropa y Moda,Online,Piura,Platinum,22,66,20.0,8,928.08
Belleza,Online,Piura,Básico,13,74,30.6,9,298.8
Ropa y Moda,Tienda física,Arequipa,Silver,25,45,10.6,14,576.77
Ropa y Moda,Online,Trujillo,Gold,48,47,32.3,10,712.01
Hogar y Deco,Tienda física,Cusco,Gold,18,63,10.1,4,888.68
Belleza,Online,Trujillo,Básico,12,76,32.9,6,294.78
Belleza,Online,Trujillo,Gold,40,77,3.4,11,795.66
Deportes,Online,Arequipa,Gold,17,55,34.6,10,629.81
Ropa y Moda,Tienda física,Trujillo,Silver,15,75,20.0,8,511.94
Ropa y Moda,Online,Lima,Silver,42,19,11.9,9,546.64
Electrónica,Tienda física,Piura,Básico,15,35,10.6,12,486.76
Deportes,Tienda física,Lima,Silver,15,53,17.3,5,433.82
Electrónica,Tienda física,Cusco,Básico,39,26,40.0,12,509.88
Electrónica,Tienda física,Piura,Platinum,13,14,8.8,6,1717.84
Electrónica,Tienda física,Trujillo,Básico,17,45,4.1,11,570.85
Hogar y Deco,Tienda física,Cusco,Platinum,32,44,23.4,4,1391.15
Hogar y Deco,Tienda física,Piura,Básico,9,65,19.5,5,362.87
Electrónica,Tienda física,Trujillo,Gold,40,51,21.0,7,1199.89
Deportes,Tienda física,Lima,Silver,20,43,26.7,9,498.27
Ropa y Moda,Online,Piura,Platinum,26,23,10.7,10,830.83
Deportes,Online,Trujillo,Básico,27,56,36.4,11,428.73
Belleza,Online,Lima,Silver,21,19,17.4,13,429.89
Hogar y Deco,Online,Cusco,Básico,18,82,5.2,6,475.76
Ropa y Moda,Online,Cusco,Silver,13,76,29.7,14,504.33
Ropa y Moda,Tienda física,Cusco,Silver,16,55,25.7,6,401.6
Belleza,Tienda física,Cusco,Básico,9,60,12.6,8,343.58
Belleza,Tienda física,Arequipa,Platinum,12,59,24.9,11,816.01
Electrónica,Tienda física,Piura,Platinum,44,33,8.8,4,1912.16
Hogar y Deco,Tienda física,Piura,Gold,38,19,17.8,3,820.91
Hogar y Deco,Tienda física,Arequipa,Silver,19,28,36.0,14,629.31
Deportes,Tienda física,Trujillo,Gold,7,52,5.3,7,642.98
Electrónica,Online,Trujillo,Gold,35,49,15.5,5,1046.89
Electrónica,Online,Cusco,Básico,48,37,32.8,2,436.49
Electrónica,Online,Lima,Básico,18,26,38.8,2,224.84
Electrónica,Online,Trujillo,Básico,16,40,18.2,11,460.3
Hogar y Deco,Tienda física,Lima,Silver,39,80,20.3,6,724.93
Hogar y Deco,Tienda física,Piura,Básico,4,38,22.9,8,303.06
Electrónica,Tienda física,Lima,Básico,25,77,37.3,1,426.29
Deportes,Online,Piura,Silver,32,54,34.3,11,562.46
Ropa y Moda,Tienda física,Arequipa,Silver,40,22,6.8,6,516.1
Ropa y Moda,Tienda física,Arequipa,Platinum,13,16,17.5,12,830.61
Deportes,Tienda física,Cusco,Básico,45,28,18.6,2,371.11
Electrónica,Online,Trujillo,Básico,17,35,31.6,2,273.51
Hogar y Deco,Tienda física,Cusco,Básico,49,60,24.1,7,579.28
Ropa y Moda,Online,Piura,Platinum,37,45,26.2,10,906.66
Belleza,Online,Cusco,Básico,6,46,39.9,1,65.91
Belleza,Online,Lima,Platinum,19,72,3.0,6,851.64
Deportes,Online,Piura,Gold,13,55,8.9,14,810.15
Electrónica,Tienda física,Arequipa,Platinum,26,26,16.3,7,1814.82
Ropa y Moda,Online,Trujillo,Gold,14,25,13.9,14,600.38
Electrónica,Online,Piura,Básico,31,65,0.9,8,628.72
Ropa y Moda,Tienda física,Piura,Gold,4,6,3.7,7,475.77
Deportes,Tienda física,Lima,Platinum,39,23,27.2,6,1088.57
Deportes,Online,Trujillo,Silver,8,64,35.2,9,421.88
Belleza,Tienda física,Arequipa,Gold,25,43,20.6,13,652.04
Electrónica,Online,Piura,Gold,13,23,21.6,3,835.16
Belleza,Online,Piura,Básico,32,30,10.2,11,443.33
Electrónica,Online,Lima,Platinum,38,77,30.7,6,1790.67
Belleza,Online,Cusco,Gold,38,18,30.1,4,493.71
Hogar y Deco,Tienda física,Arequipa,Gold,28,79,23.5,2,861.14
Hogar y Deco,Online,Trujillo,Gold,30,21,8.5,1,756.68
Hogar y Deco,Tienda física,Piura,Gold,3,57,3.9,12,936.4
Hogar y Deco,Tienda física,Piura,Silver,28,23,2.6,12,675.79
Ropa y Moda,Tienda física,Arequipa,Platinum,3,45,23.7,14,869.18
Hogar y Deco,Tienda física,Cusco,Básico,45,44,33.0,1,419.67
Deportes,Online,Piura,Básico,34,82,34.3,11,490.13
Deportes,Tienda física,Arequipa,Silver,16,47,18.5,10,533.33
Ropa y Moda,Online,Lima,Platinum,22,40,31.4,3,716.36
Hogar y Deco,Tienda física,Cusco,Gold,32,51,37.9,4,829.16
Hogar y Deco,Tienda física,Trujillo,Silver,38,42,11.0,2,622.86
Hogar y Deco,Online,Piura,Platinum,8,7,15.9,13,1246.61
Belleza,Online,Arequipa,Gold,8,50,37.3,12,459.16
Electrónica,Online,Lima,Silver,6,48,13.5,11,659.73
Belleza,Tienda física,Trujillo,Platinum,14,6,36.6,11,740.69
Electrónica,Tienda física,Arequipa,Básico,32,9,39.2,14,536.16
Hogar y Deco,Online,Arequipa,Básico,35,57,26.5,11,521.3
Hogar y Deco,Online,Trujillo,Platinum,10,31,32.7,1,1099.69
Belleza,Online,Lima,Básico,3,21,30.0,4,75.86
Belleza,Online,Lima,Platinum,12,40,28.0,7,664.37
Electrónica,Tienda física,Cusco,Gold,49,45,12.3,10,1337.68
Deportes,Online,Piura,Platinum,31,77,2.3,11,1241.92
Electrónica,Online,Trujillo,Gold,29,49,13.7,6,1101.32
Belleza,Online,Trujillo,Silver,5,20,26.7,6,240.91
Belleza,Online,Trujillo,Platinum,25,17,4.1,11,805.67
Ropa y Moda,Tienda física,Lima,Silver,41,28,0.5,9,600.11
Belleza,Online,Piura,Básico,31,41,5.6,14,538.43
Ropa y Moda,Tienda física,Cusco,Gold,21,66,28.6,2,521.73
Deportes,Online,Arequipa,Platinum,20,25,38.9,4,829.71
Electrónica,Online,Arequipa,Silver,39,58,39.3,5,717.3
Electrónica,Tienda física,Trujillo,Gold,22,41,19.8,1,980.26
Ropa y Moda,Online,Piura,Gold,4,6,34.8,8,356.99
Electrónica,Tienda física,Lima,Básico,13,75,29.5,8,465.32
Belleza,Tienda física,Piura,Básico,45,38,20.0,6,405.01
Hogar y Deco,Online,Piura,Gold,42,6,22.9,12,911.7
Ropa y Moda,Tienda física,Lima,Gold,49,45,5.5,5,759.43
Electrónica,Tienda física,Trujillo,Platinum,20,75,37.5,8,1831.39
Ropa y Moda,Tienda física,Piura,Gold,13,14,14.1,3,433.99
Ropa y Moda,Tienda física,Arequipa,Platinum,17,66,17.8,3,839.9
Hogar y Deco,Tienda física,Lima,Gold,36,40,26.9,2,806.75
Belleza,Tienda física,Cusco,Básico,33,3,13.4,5,244.64
Ropa y Moda,Tienda física,Trujillo,Platinum,1,24,10.2,3,686.98
Electrónica,Tienda física,Lima,Silver,15,19,25.2,3,541.55
Deportes,Online,Cusco,Básico,13,18,1.0,6,293.97
Ropa y Moda,Online,Cusco,Platinum,17,64,28.8,8,834.45
Ropa y Moda,Tienda física,Piura,Platinum,24,35,20.6,2,774.51
Hogar y Deco,Online,Piura,Silver,8,62,24.2,4,473.82
Belleza,Tienda física,Piura,Platinum,27,1,25.3,11,772.24
Deportes,Tienda física,Lima,Gold,45,25,21.1,7,759.81
Electrónica,Online,Lima,Silver,23,45,23.3,1,569.31
Deportes,Tienda física,Trujillo,Básico,46,49,27.4,1,400.16
Electrónica,Tienda física,Piura,Básico,8,16,30.1,12,374.73
Belleza,Tienda física,Cusco,Gold,8,19,29.1,13,485.94
Electrónica,Tienda física,Arequipa,Básico,26,23,34.8,10,420.04
Hogar y Deco,Online,Trujillo,Platinum,47,83,7.6,7,1517.99
Hogar y Deco,Tienda física,Lima,Platinum,13,25,16.0,14,1460.08
Hogar y Deco,Tienda física,Trujillo,Gold,39,16,37.9,7,816.15
Hogar y Deco,Tienda física,Trujillo,Básico,37,54,15.9,1,434.81
